backend   |  
backend   |       INFO   Will watch for changes in these directories: ['/app']
backend   |       INFO   Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
backend   |       INFO   Started reloader process [100] using WatchFiles
backend   | 2025-07-14 02:37:48.240 | DEBUG    | backend.src.core.profiler:__init__:64 - Profiler inicializado. Directorio de salida: 'performance'.
backend   | 2025-07-14 02:37:48 | SUCCESS  | backend.src.app:<module>:92 - 🔌 ROUTERS REGISTRADOS CORRECTAMENTE. Endpoints disponibles: [Route(path='/openapi.json', name='openapi', methods=['GET', 'HEAD']), APIRoute(path='/', name='api_root', methods=['GET']), APIRoute(path='/docs', name='get_scalar_docs', methods=['GET']), APIRoute(path='/health', name='health_check', methods=['GET']), APIRoute(path='/chat/query', name='process_user_query', methods=['POST']), APIRoute(path='/sessions/', name='create_new_session', methods=['POST']), APIRoute(path='/sessions/{session_id}', name='get_session_by_id', methods=['GET']), APIRoute(path='/sessions/{session_id}/history', name='clear_history', methods=['DELETE']), APIRoute(path='/users/', name='register_user', methods=['POST']), APIRoute(path='/users/{user_id}', name='get_user_by_id', methods=['GET'])]
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.app:<module>:99 - Aplicación FastAPI lista. Esperando peticiones...
backend   |       INFO   Started server process [105]
backend   |       INFO   Waiting for application startup.
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.core.logging_config:setup_logging:76 - ✅ Logger de Loguru configurado.
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.lifespan_manager:lifespan:35 - 🚀 Iniciando secuencia de arranque (lifespan)…
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.core.warm_up:warm_up_app:41 - 🤖 Warm-up: inicializando agente…
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: initialize_agent
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: initialize_agent
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.orchestrator.settings.agent_factory:initialize_agent:55 - 🔧 Creando instancia del agente Ajover...
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.orchestrator.settings.agent_factory:initialize_agent:64 - ⏳ Loading SearchAI… (pdf=pdf-index, web=web-index)
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: openai_create_factory
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: openai_create_factory
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.infrastructure.openai:create:110 - 🔧 Iniciando OpenAI.create()
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.infrastructure.openai:_ensure_settings:86 - 🔍 Validando configuración de OpenAI
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.infrastructure.openai:create:116 - 🔑 Configuración de API key y endpoint encontrada
backend   | 2025-07-14 02:37:48 | SUCCESS  | backend.src.infrastructure.openai:create:125 - 🤖✅ Cliente AsyncAzureOpenAI inicializado
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.infrastructure.openai:__init__:59 - 🚀 Inicializando servicio OpenAI: chat='gpt-4o', embeddings='text-embedding-3-small', temp=0.0
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.utils.time_utils:__init__:155 - 🪣 Token bucket 'default' inicializado: rate=1.0/s, capacity=5
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.infrastructure.openai:__init__:68 - ✅ Servicio OpenAI inicializado correctamente
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:_collect_metrics:205 - [openai_create_factory] Métricas recogidas: tiempo=0.0115s, cpu=0.00%, memoria_actual=139.71MB, memoria_pico=139.71MB, llamadas=3176
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:_write_json:231 - Archivo de métricas guardado: performance/openai_create_factory.json
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.core.profiler:profile_async:166 - Profiling asíncrono finalizado para: openai_create_factory. Tiempo: 0.012s, Memoria pico: 139.71MB, Llamadas: 3176
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: searchai_create_factory
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: searchai_create_factory
backend   | 2025-07-14 02:37:48 | SUCCESS  | backend.src.infrastructure.searchai:create:95 - 🔗✅ Clientes de Azure Search AI inicializados para índice 'pdf-index'.
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.infrastructure.searchai:__init__:64 - Clientes de Search AI para índice 'pdf-index' y servicio OpenAI asignados.
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:_collect_metrics:205 - [searchai_create_factory] Métricas recogidas: tiempo=0.0010s, cpu=0.00%, memoria_actual=139.96MB, memoria_pico=139.71MB, llamadas=876
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:_write_json:231 - Archivo de métricas guardado: performance/searchai_create_factory.json
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.core.profiler:profile_async:166 - Profiling asíncrono finalizado para: searchai_create_factory. Tiempo: 0.001s, Memoria pico: 139.71MB, Llamadas: 876
backend   | 2025-07-14 02:37:48 | SUCCESS  | backend.src.orchestrator.settings.agent_factory:initialize_agent:69 - ✅ SearchAI listos (PDF='pdf-index', WEB='web-index')
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.orchestrator.settings.agent_factory:initialize_agent:72 - 🤖 Inicializando AzureChatOpenAI…
backend   | 2025-07-14 02:37:48 | SUCCESS  | backend.src.orchestrator.settings.agent_factory:initialize_agent:81 - ✅ Modelo AzureChatOpenAI listo.
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.orchestrator.settings.agent_settings:__init__:60 - 🤖 Inicializando el agente de Ajover con dependencias inyectadas...
backend   | 2025-07-14 02:37:48 | SUCCESS  | backend.src.orchestrator.settings.agent_settings:__init__:67 - ✅ Agente y grafo compilados con éxito.
backend   | 2025-07-14 02:37:48 | SUCCESS  | backend.src.orchestrator.settings.agent_factory:initialize_agent:91 - 🚀 Agente Ajover listo para solicitudes.
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:_collect_metrics:205 - [initialize_agent] Métricas recogidas: tiempo=0.1837s, cpu=0.00%, memoria_actual=145.78MB, memoria_pico=139.71MB, llamadas=695
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:_write_json:231 - Archivo de métricas guardado: performance/initialize_agent.json
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.core.profiler:profile_async:166 - Profiling asíncrono finalizado para: initialize_agent. Tiempo: 0.184s, Memoria pico: 139.71MB, Llamadas: 695
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.core.warm_up:warm_up_app:49 - 🔌 Warm-up: creando conexiones externas…
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: cosmos_sessions_create_factory
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: cosmos_sessions_create_factory
backend   | /app/.venv/lib/python3.11/site-packages/motor/core.py:171: UserWarning: You appear to be connected to a CosmosDB cluster. For more information regarding feature compatibility and support please visit https://www.mongodb.com/supportability/cosmosdb
backend   |   delegate = self.__delegate_class__(*args, **kwargs)
backend   | 2025-07-14 02:37:48 | SUCCESS  | backend.src.infrastructure.cosmos_db_sessions:create:106 - 🔗✅ CosmosDBSessions listo (DB='ajover-chatbot-db', Coll='session-collection').
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:_collect_metrics:205 - [cosmos_sessions_create_factory] Métricas recogidas: tiempo=0.0128s, cpu=0.00%, memoria_actual=147.03MB, memoria_pico=145.78MB, llamadas=2557
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:_write_json:231 - Archivo de métricas guardado: performance/cosmos_sessions_create_factory.json
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.core.profiler:profile_async:166 - Profiling asíncrono finalizado para: cosmos_sessions_create_factory. Tiempo: 0.013s, Memoria pico: 145.78MB, Llamadas: 2557
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: cosmos_users_create_factory
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: cosmos_users_create_factory
backend   | 2025-07-14 02:37:48 | SUCCESS  | backend.src.infrastructure.cosmos_db_users:create:99 - 🔗✅ CosmosDBUsers listo (DB='%s', Coll='%s').
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:_collect_metrics:205 - [cosmos_users_create_factory] Métricas recogidas: tiempo=0.0113s, cpu=0.00%, memoria_actual=147.78MB, memoria_pico=147.03MB, llamadas=1976
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.core.profiler:_write_json:231 - Archivo de métricas guardado: performance/cosmos_users_create_factory.json
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.core.profiler:profile_async:166 - Profiling asíncrono finalizado para: cosmos_users_create_factory. Tiempo: 0.011s, Memoria pico: 147.03MB, Llamadas: 1976
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.infrastructure.blob_storage:create:61 - Iniciando método de fábrica BlobStorage.create().
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.infrastructure.blob_storage:create:77 - Conectando a Azure Blob Service...
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.infrastructure.blob_storage:create:80 - Intentando obtener/crear el contenedor: 'documentos-pdf'.
backend   | 2025-07-14 02:37:49 | INFO     | backend.src.infrastructure.blob_storage:create:87 - 📦✅ Contenedor 'documentos-pdf' ya existe, se usará el existente.
backend   | 2025-07-14 02:37:49 | SUCCESS  | backend.src.infrastructure.blob_storage:create:96 - 🔗✅ BlobServiceClient inicializado para el contenedor 'documentos-pdf'.
backend   | 2025-07-14 02:37:49 | DEBUG    | backend.src.infrastructure.blob_storage:__init__:40 - Inicializando BlobStorage con contenedor: 'documentos-pdf'.
backend   | 2025-07-14 02:37:49 | SUCCESS  | backend.src.core.warm_up:warm_up_app:81 - ✅ Warm-up completo.
backend   |       INFO   Application startup complete.
frontend  | 172.18.0.1 - - [14/Jul/2025:02:37:51 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36" "-"
backend   | 2025-07-14 02:37:57 | INFO     | backend.src.core.policies:dispatch:58 - ▶️ Solicitud recibida: POST /chat/query
backend   | 2025-07-14 02:37:57 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: process_user_query
backend   | 2025-07-14 02:37:57 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: process_user_query
backend   | 2025-07-14 02:37:57 | INFO     | backend.src.routers.chat:process_user_query:55 - 📩 Recibida nueva consulta al chat.
backend   | 2025-07-14 02:37:57 | DEBUG    | backend.src.routers.chat:process_user_query:56 - Payload recibido: session_id=None, query='Hola'
backend   | 2025-07-14 02:37:57 | INFO     | backend.src.routers.chat:process_user_query:74 - Sesión no encontrada o no proporcionada. Creando nueva...
backend   | 2025-07-14 02:37:57 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: cosmos_sessions_create_session
backend   | 2025-07-14 02:37:57 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: cosmos_sessions_create_session
backend   | 2025-07-14 02:37:59 | SUCCESS  | backend.src.infrastructure.cosmos_db_sessions:create_session:154 - 🆕 Sesión creada id=sess_1f0df7a9accc42a9d3e3562946042976
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.core.profiler:_collect_metrics:205 - [cosmos_sessions_create_session] Métricas recogidas: tiempo=2.0024s, cpu=0.00%, memoria_actual=154.53MB, memoria_pico=154.53MB, llamadas=512
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.core.profiler:_write_json:231 - Archivo de métricas guardado: performance/cosmos_sessions_create_session.json
backend   | 2025-07-14 02:37:59 | INFO     | backend.src.core.profiler:profile_async:166 - Profiling asíncrono finalizado para: cosmos_sessions_create_session. Tiempo: 2.002s, Memoria pico: 154.53MB, Llamadas: 512
backend   | 2025-07-14 02:37:59 | SUCCESS  | backend.src.routers.chat:process_user_query:76 - ✨ Nueva sesión creada: sess_1f0df7a9accc42a9d3e3562946042976
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.routers.chat:process_user_query:86 - Invocando agente para sesión: sess_1f0df7a9accc42a9d3e3562946042976
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: invoke_agent
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: invoke_agent
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: get_persistent_chat_history
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: get_persistent_chat_history
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: cosmos_sessions_get_session
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: cosmos_sessions_get_session
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: cosmos_sessions_add_message
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: cosmos_sessions_add_message
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.utils.time_utils:get_colombia_time:32 - 🕐 Hora Colombia obtenida: 2025-07-13T21:37:59.276209-05:00
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.core.profiler:_collect_metrics:205 - [cosmos_sessions_get_session] Métricas recogidas: tiempo=0.0947s, cpu=0.00%, memoria_actual=154.53MB, memoria_pico=154.53MB, llamadas=405
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.core.profiler:_write_json:231 - Archivo de métricas guardado: performance/cosmos_sessions_get_session.json
backend   | 2025-07-14 02:37:59 | INFO     | backend.src.core.profiler:profile_async:166 - Profiling asíncrono finalizado para: cosmos_sessions_get_session. Tiempo: 0.095s, Memoria pico: 154.53MB, Llamadas: 405
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.orchestrator.settings.agent_factory:get_persistent_chat_history:132 - Historial vacío para session_id=sess_1f0df7a9accc42a9d3e3562946042976
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.core.profiler:_collect_metrics:205 - [get_persistent_chat_history] Métricas recogidas: tiempo=0.0962s, cpu=0.00%, memoria_actual=154.53MB, memoria_pico=154.53MB, llamadas=334
backend   | 2025-07-14 02:37:59 | DEBUG    | backend.src.core.profiler:_write_json:231 - Archivo de métricas guardado: performance/get_persistent_chat_history.json
backend   | 2025-07-14 02:37:59 | INFO     | backend.src.core.profiler:profile_async:166 - Profiling asíncrono finalizado para: get_persistent_chat_history. Tiempo: 0.096s, Memoria pico: 154.53MB, Llamadas: 334
backend   | 2025-07-14 02:38:00 | DEBUG    | backend.src.core.profiler:_collect_metrics:205 - [cosmos_sessions_add_message] Métricas recogidas: tiempo=0.8737s, cpu=0.00%, memoria_actual=154.53MB, memoria_pico=154.53MB, llamadas=305
backend   | 2025-07-14 02:38:00 | DEBUG    | backend.src.core.profiler:_write_json:231 - Archivo de métricas guardado: performance/cosmos_sessions_add_message.json
backend   | 2025-07-14 02:38:00 | INFO     | backend.src.core.profiler:profile_async:166 - Profiling asíncrono finalizado para: cosmos_sessions_add_message. Tiempo: 0.874s, Memoria pico: 154.53MB, Llamadas: 305
backend   | 2025-07-14 02:38:00 | DEBUG    | backend.src.orchestrator.settings.agent_factory:invoke_agent:199 - 📚 Historial para grafo (0 msgs)
backend   | 2025-07-14 02:38:00 | DEBUG    | backend.src.orchestrator.settings.agent_factory:invoke_agent:203 - 📚 Tipo de consulta: general
backend   | 2025-07-14 02:38:00 | INFO     | backend.src.orchestrator.settings.agent_factory:invoke_agent:220 - ▶️ Invocando grafo con consulta: 'Hola…'
backend   | 2025-07-14 02:38:00 | INFO     | backend.src.orchestrator.settings.agent_settings:_agent_node:116 - 🧠 Nodo Agente: Invocando al LLM...
backend   | 2025-07-14 02:38:01 | SUCCESS  | backend.src.orchestrator.settings.agent_settings:_agent_node:124 - 🤖 LLM respondió. ¿Llamada a herramienta?: No
backend   | 2025-07-14 02:38:01 | SUCCESS  | backend.src.orchestrator.settings.agent_factory:invoke_agent:223 - ✔️ Respuesta generada: '¡Hola! 😊 ¿En qué puedo ayudarte hoy?…'
backend   | 2025-07-14 02:38:01 | DEBUG    | backend.src.core.profiler:_collect_metrics:205 - [invoke_agent] Métricas recogidas: tiempo=1.9405s, cpu=0.00%, memoria_actual=154.53MB, memoria_pico=154.53MB, llamadas=365
backend   | 2025-07-14 02:38:01 | DEBUG    | backend.src.core.profiler:_write_json:231 - Archivo de métricas guardado: performance/invoke_agent.json
backend   | 2025-07-14 02:38:01 | INFO     | backend.src.core.profiler:profile_async:166 - Profiling asíncrono finalizado para: invoke_agent. Tiempo: 1.940s, Memoria pico: 154.53MB, Llamadas: 365
backend   | 2025-07-14 02:38:01 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: cosmos_sessions_get_session
backend   | 2025-07-14 02:38:01 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: cosmos_sessions_get_session
backend   | 2025-07-14 02:38:01 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: cosmos_sessions_add_message
backend   | 2025-07-14 02:38:01 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: cosmos_sessions_add_message
backend   | 2025-07-14 02:38:01 | DEBUG    | backend.src.utils.time_utils:get_colombia_time:32 - 🕐 Hora Colombia obtenida: 2025-07-13T21:38:01.216363-05:00
backend   | 2025-07-14 02:38:01 | DEBUG    | backend.src.core.profiler:_collect_metrics:205 - [cosmos_sessions_add_message] Métricas recogidas: tiempo=0.0880s, cpu=0.00%, memoria_actual=154.53MB, memoria_pico=154.53MB, llamadas=264
backend   | 2025-07-14 02:38:01 | DEBUG    | backend.src.core.profiler:_write_json:231 - Archivo de métricas guardado: performance/cosmos_sessions_add_message.json
backend   | 2025-07-14 02:38:01 | INFO     | backend.src.core.profiler:profile_async:166 - Profiling asíncrono finalizado para: cosmos_sessions_add_message. Tiempo: 0.088s, Memoria pico: 154.53MB, Llamadas: 264
backend   | 2025-07-14 02:38:01 | DEBUG    | backend.src.core.profiler:_collect_metrics:205 - [cosmos_sessions_get_session] Métricas recogidas: tiempo=0.0959s, cpu=0.00%, memoria_actual=154.53MB, memoria_pico=154.53MB, llamadas=405
backend   | 2025-07-14 02:38:01 | DEBUG    | backend.src.core.profiler:_write_json:231 - Archivo de métricas guardado: performance/cosmos_sessions_get_session.json
backend   | 2025-07-14 02:38:01 | INFO     | backend.src.core.profiler:profile_async:166 - Profiling asíncrono finalizado para: cosmos_sessions_get_session. Tiempo: 0.096s, Memoria pico: 154.53MB, Llamadas: 405
backend   | 2025-07-14 02:38:01 | DEBUG    | backend.src.utils.time_utils:get_colombia_time:32 - 🕐 Hora Colombia obtenida: 2025-07-13T21:38:01.311544-05:00
backend   | 2025-07-14 02:38:01 | SUCCESS  | backend.src.routers.chat:process_user_query:112 - ✅ Respuesta construida exitosamente para la sesión sess_1f0df7a9accc42a9d3e3562946042976
backend   | 2025-07-14 02:38:01 | DEBUG    | backend.src.core.profiler:_collect_metrics:205 - [process_user_query] Métricas recogidas: tiempo=4.0418s, cpu=0.00%, memoria_actual=154.53MB, memoria_pico=154.53MB, llamadas=710
backend   | 2025-07-14 02:38:01 | DEBUG    | backend.src.core.profiler:_write_json:231 - Archivo de métricas guardado: performance/process_user_query.json
backend   | 2025-07-14 02:38:01 | INFO     | backend.src.core.profiler:profile_async:166 - Profiling asíncrono finalizado para: process_user_query. Tiempo: 4.042s, Memoria pico: 154.53MB, Llamadas: 710
backend   | 2025-07-14 02:38:01 | INFO     | backend.src.core.policies:dispatch:65 - ◀️ Respuesta enviada: 200 (tardó 4045.14ms)
backend   |       INFO   172.18.0.1:35278 - "POST /chat/query HTTP/1.1" 200
backend   | 2025-07-14 02:38:14 | INFO     | backend.src.core.policies:dispatch:58 - ▶️ Solicitud recibida: POST /chat/query
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: process_user_query
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: process_user_query
backend   | 2025-07-14 02:38:14 | INFO     | backend.src.routers.chat:process_user_query:55 - 📩 Recibida nueva consulta al chat.
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.routers.chat:process_user_query:56 - Payload recibido: session_id='sess_1f0df7a9accc42a9d3e3562946042976', query='¿Cuáles tipos de productos maneja ajover?'
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.routers.chat:process_user_query:70 - Buscando sesión existente: sess_1f0df7a9accc42a9d3e3562946042976
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: cosmos_sessions_get_session
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: cosmos_sessions_get_session
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.core.profiler:_collect_metrics:205 - [cosmos_sessions_get_session] Métricas recogidas: tiempo=0.0824s, cpu=0.00%, memoria_actual=154.53MB, memoria_pico=154.53MB, llamadas=141
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.core.profiler:_write_json:231 - Archivo de métricas guardado: performance/cosmos_sessions_get_session.json
backend   | 2025-07-14 02:38:14 | INFO     | backend.src.core.profiler:profile_async:166 - Profiling asíncrono finalizado para: cosmos_sessions_get_session. Tiempo: 0.082s, Memoria pico: 154.53MB, Llamadas: 141
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.routers.chat:process_user_query:86 - Invocando agente para sesión: sess_1f0df7a9accc42a9d3e3562946042976
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: invoke_agent
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: invoke_agent
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: get_persistent_chat_history
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: get_persistent_chat_history
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: cosmos_sessions_get_session
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: cosmos_sessions_get_session
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.core.profiler:wrapped:317 - Llamada a función async perfilada: cosmos_sessions_add_message
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.core.profiler:profile_async:138 - Profiling asíncrono iniciado para: cosmos_sessions_add_message
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.utils.time_utils:get_colombia_time:32 - 🕐 Hora Colombia obtenida: 2025-07-13T21:38:14.477449-05:00
backend   | 2025-07-14 02:38:14 | DEBUG    | backend.src.core.profiler:_collect_metrics:205 - [cosmos_sessions_get_session] Métricas recogidas: tiempo=0.0826s, cpu=0.00%, memoria_actual=154.53MB, memoria_pico=154.53MB, llamadas=405
